timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,Unnamed: 0,Notes
14872107,2024-08-13 14:04:59,623.0,717.0,,,,,713.0,730.0,714.0,710.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14872117,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872267,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872267,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872297,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,114.0,,,2,no,yes,5.0,1.0,,
14872507,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872507,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872587,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872587,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872597,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872607,2024-08-13 14:04:59,,,,,,,616.0,630.0,648.0,644.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872617,2024-08-13 14:04:59,635.0,721.0,,,,,713.0,730.0,731.0,710.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14872617,2024-08-13 14:04:59,635.0,721.0,,,,,713.0,730.0,731.0,710.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14872617,2024-08-13 14:04:59,635.0,721.0,,,,,713.0,730.0,731.0,710.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14872627,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872637,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,106.0,,,2,no,yes,5.0,1.0,,
14872677,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872677,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872697,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,106.0,,,2,no,yes,5.0,1.0,,
14872747,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872747,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
